Image_name,UT_id,date_only(YYYY-MM-DD)
UT75-15D_02_24_2016.JPG,UT75-15D,2016-02-24
UT75-15D_02_25_2016.JPG,UT75-15D,2016-02-25
UT75-15D_02_26_2016.JPG,UT75-15D,2016-02-26
UT75-15D_02_27_2016.JPG,UT75-15D,2016-02-27
UT75-15D_02_28_2016.JPG,UT75-15D,2016-02-28
UT75-15D_02_29_2016.JPG,UT75-15D,2016-02-29
UT75-15D_03_01_2016.JPG,UT75-15D,2016-03-01
UT75-15D_03_02_2016.JPG,UT75-15D,2016-03-02
UT75-15D_03_03_2016.JPG,UT75-15D,2016-03-03
UT75-15D_03_04_2016.JPG,UT75-15D,2016-03-04
UT75-15D_03_05_2016.JPG,UT75-15D,2016-03-05
UT75-15D_03_06_2016.JPG,UT75-15D,2016-03-06
UT75-15D_03_07_2016.JPG,UT75-15D,2016-03-07
UT75-15D_03_08_2016.JPG,UT75-15D,2016-03-08
UT75-15D_03_09_2016.JPG,UT75-15D,2016-03-09
UT75-15D_03_10_2016.JPG,UT75-15D,2016-03-10
UT75-15D_03_11_2016.JPG,UT75-15D,2016-03-11
UT75-15D_03_12_2016.JPG,UT75-15D,2016-03-12
UT75-15D_03_20_2016.JPG,UT75-15D,2016-03-20
UT75-15D_03_21_2016.JPG,UT75-15D,2016-03-21
UT75-15D_03_22_2016.JPG,UT75-15D,2016-03-22
UT75-15D_03_23_2016.JPG,UT75-15D,2016-03-23
UT75-15D_03_24_2016.JPG,UT75-15D,2016-03-24
UT75-15D_03_25_2016.JPG,UT75-15D,2016-03-25
UT75-15D_03_26_2016.JPG,UT75-15D,2016-03-26
UT75-15D_03_27_2016.JPG,UT75-15D,2016-03-27
UT75-15D_03_28_2016.JPG,UT75-15D,2016-03-28
UT75-15D_03_29_2016.JPG,UT75-15D,2016-03-29
UT75-15D_03_30_2016.JPG,UT75-15D,2016-03-30
UT75-15D_03_31_2016.JPG,UT75-15D,2016-03-31
UT75-15D_04_01_2016.JPG,UT75-15D,2016-04-01
UT75-15D_04_02_2016.JPG,UT75-15D,2016-04-02
UT75-15D_04_03_2016.JPG,UT75-15D,2016-04-03
UT75-15D_04_04_2016.JPG,UT75-15D,2016-04-04
UT75-15D_04_05_2016.JPG,UT75-15D,2016-04-05
UT75-15D_04_06_2016.JPG,UT75-15D,2016-04-06
UT75-15D_04_07_2016.JPG,UT75-15D,2016-04-07
UT75-15D_04_08_2016.JPG,UT75-15D,2016-04-08
UT75-15D_04_09_2016.JPG,UT75-15D,2016-04-09
UT75-15D_04_17_2016.JPG,UT75-15D,2016-04-17
UT75-15D_04_18_2016.JPG,UT75-15D,2016-04-18
UT75-15D_04_19_2016.JPG,UT75-15D,2016-04-19
UT75-15D_04_20_2016.JPG,UT75-15D,2016-04-20
UT75-15D_04_21_2016.JPG,UT75-15D,2016-04-21
UT75-15D_04_22_2016.JPG,UT75-15D,2016-04-22
UT75-15D_04_23_2016.JPG,UT75-15D,2016-04-23
UT75-15D_05_01_2016.JPG,UT75-15D,2016-05-01
UT75-15D_05_08_2016.JPG,UT75-15D,2016-05-08
UT75-15D_05_15_2016.JPG,UT75-15D,2016-05-15
UT75-15D_05_22_2016.JPG,UT75-15D,2016-05-22
UT75-15D_05_29_2016.JPG,UT75-15D,2016-05-29
UT75-15D_06_05_2016.JPG,UT75-15D,2016-06-05
UT75-15D_06_12_2016.JPG,UT75-15D,2016-06-12
UT75-15D_06_19_2016.JPG,UT75-15D,2016-06-19
UT75-15D_06_26_2016.JPG,UT75-15D,2016-06-26
UT75-15D_07_03_2016.JPG,UT75-15D,2016-07-03
UT75-15D_07_10_2016.JPG,UT75-15D,2016-07-10
UT75-15D_08_07_2016.JPG,UT75-15D,2016-08-07
UT75-15D_08_14_2016.JPG,UT75-15D,2016-08-14
UT75-15D_08_21_2016.JPG,UT75-15D,2016-08-21
UT75-15D_08_28_2016.JPG,UT75-15D,2016-08-28
UT75-15D_09_10_2016.JPG,UT75-15D,2016-09-10
UT75-15D_10_02_2016.JPG,UT75-15D,2016-10-02
UT76-11D_08_03_11.JPG,UT76-11D,2011-08-03
UT76-11D_08_04_11.JPG,UT76-11D,2011-08-04
UT76-11D_08_05_11.JPG,UT76-11D,2011-08-05
UT76-11D_08_06_11.JPG,UT76-11D,2011-08-06
UT76-11D_08_07_11.JPG,UT76-11D,2011-08-07
UT76-11D_08_08_11.JPG,UT76-11D,2011-08-08
UT76-11D_08_09_11.JPG,UT76-11D,2011-08-09
UT76-11D_08_10_11.JPG,UT76-11D,2011-08-10
UT76-11D_08_11_11.JPG,UT76-11D,2011-08-11
UT76-11D_08_12_11.JPG,UT76-11D,2011-08-12
UT76-11D_08_13_11.JPG,UT76-11D,2011-08-13
UT76-11D_08_15_11.JPG,UT76-11D,2011-08-15
